demand_line_id,asn,part_number,delivery_date,quantity_needed,batch,plant,quantity_allocated
DL00001,ASN500055,P1000,2026-01-29,96,B00001,PLT-01,19
DL00001,ASN500055,P1000,2026-01-29,96,B00001,PLT-03,62
DL00001,ASN500055,P1000,2026-01-29,96,B00002,PLT-01,15
DL00002,ASN500000,P1000,2026-02-23,90,B00002,PLT-01,90
DL00003,ASN500021,P1000,2026-02-10,126,B00002,PLT-01,126
DL00004,ASN500051,P1001,2026-03-11,68,B00003,PLT-02,68
DL00005,ASN500001,P1001,2026-02-08,28,B00003,PLT-02,28
DL00006,ASN500022,P1001,2026-02-26,41,B00003,PLT-02,41
DL00007,ASN500010,P1001,2026-01-08,105,B00003,PLT-02,105
DL00008,ASN500076,P1001,2026-03-27,82,B00003,PLT-02,82
DL00009,ASN500021,P1002,2026-03-14,154,B00004,PLT-01,19
DL00009,ASN500021,P1002,2026-03-14,154,B00004,PLT-02,8
DL00009,ASN500021,P1002,2026-03-14,154,B00005,PLT-02,82
DL00009,ASN500021,P1002,2026-03-14,154,B00006,PLT-01,45
DL00010,ASN500039,P1002,2026-04-30,173,B00006,PLT-01,91
DL00011,ASN500099,P1003,2026-04-08,88,B00007,PLT-03,88
DL00012,ASN500126,P1003,2026-02-11,43,B00007,PLT-03,29
DL00012,ASN500126,P1003,2026-02-11,43,B00008,PLT-02,14
DL00013,ASN500037,P1003,2026-04-21,16,B00008,PLT-02,16
DL00014,ASN500131,P1003,2026-03-01,165,B00008,PLT-02,137
DL00014,ASN500131,P1003,2026-03-01,165,B00008,PLT-03,4
DL00014,ASN500131,P1003,2026-03-01,165,B00009,PLT-02,24
DL00015,ASN500129,P1003,2026-05-02,40,B00009,PLT-02,40
DL00016,ASN500129,P1004,2026-04-22,150,B00010,PLT-01,113
DL00021,ASN500012,P1005,2026-01-08,165,B00011,PLT-01,165
DL00022,ASN500136,P1005,2026-02-06,179,B00011,PLT-01,179
DL00023,ASN500125,P1005,2026-01-06,72,B00011,PLT-01,72
DL00024,ASN500116,P1005,2026-04-11,22,B00011,PLT-01,2
DL00024,ASN500116,P1005,2026-04-11,22,B00011,PLT-02,20
DL00025,ASN500137,P1006,2026-03-31,28,B00012,PLT-01,28
DL00026,ASN500134,P1006,2026-04-11,21,B00012,PLT-01,18
DL00026,ASN500134,P1006,2026-04-11,21,B00012,PLT-03,3
DL00027,ASN500121,P1006,2026-04-19,69,B00012,PLT-03,69
DL00028,ASN500019,P1006,2026-02-05,72,B00012,PLT-03,72
DL00029,ASN500052,P1006,2026-04-10,64,B00012,PLT-03,64
DL00030,ASN500126,P1007,2026-01-15,102,B00013,PLT-02,102
DL00031,ASN500122,P1007,2026-02-11,180,B00013,PLT-02,146
DL00034,ASN500084,P1008,2026-03-30,70,B00014,PLT-01,70
DL00035,ASN500077,P1008,2026-03-19,164,B00014,PLT-01,49
DL00035,ASN500077,P1008,2026-03-19,164,B00014,PLT-02,4
DL00035,ASN500077,P1008,2026-03-19,164,B00015,PLT-01,6
DL00035,ASN500077,P1008,2026-03-19,164,B00015,PLT-03,28
DL00035,ASN500077,P1008,2026-03-19,164,B00016,PLT-02,77
DL00036,ASN500003,P1009,2026-01-13,128,B00017,PLT-01,43
DL00036,ASN500003,P1009,2026-01-13,128,B00018,PLT-01,36
DL00036,ASN500003,P1009,2026-01-13,128,B00018,PLT-03,8
DL00036,ASN500003,P1009,2026-01-13,128,B00019,PLT-02,41
DL00037,ASN500124,P1009,2026-04-02,73,B00019,PLT-02,73
DL00038,ASN500055,P1010,2026-03-09,177,B00020,PLT-02,3
DL00038,ASN500055,P1010,2026-03-09,177,B00021,PLT-02,30
DL00038,ASN500055,P1010,2026-03-09,177,B00022,PLT-01,144
DL00039,ASN500132,P1011,2026-03-06,78,B00023,PLT-01,78
DL00040,ASN500119,P1011,2026-04-14,124,B00023,PLT-01,124
DL00041,ASN500030,P1011,2026-01-31,145,B00023,PLT-01,4
DL00041,ASN500030,P1011,2026-01-31,145,B00024,PLT-03,141
DL00042,ASN500021,P1012,2026-01-08,126,B00025,PLT-01,14
DL00042,ASN500021,P1012,2026-01-08,126,B00025,PLT-02,22
DL00042,ASN500021,P1012,2026-01-08,126,B00026,PLT-02,90
DL00043,ASN500074,P1012,2026-01-15,122,B00026,PLT-02,122
DL00044,ASN500129,P1012,2026-02-09,120,B00026,PLT-02,83
DL00044,ASN500129,P1012,2026-02-09,120,B00026,PLT-03,37
DL00045,ASN500053,P1013,2026-01-15,58,B00027,PLT-01,8
DL00045,ASN500053,P1013,2026-01-15,58,B00028,PLT-01,7
DL00045,ASN500053,P1013,2026-01-15,58,B00028,PLT-02,43
DL00046,ASN500023,P1013,2026-04-11,41,B00028,PLT-02,41
DL00047,ASN500134,P1013,2026-02-21,72,B00028,PLT-02,72
DL00048,ASN500033,P1013,2026-04-20,159,B00028,PLT-02,14
DL00049,ASN500071,P1014,2026-04-06,33,B00029,PLT-01,33
DL00050,ASN500093,P1014,2026-03-10,64,B00029,PLT-01,64
DL00051,ASN500124,P1014,2026-01-09,105,B00029,PLT-01,80
DL00051,ASN500124,P1014,2026-01-09,105,B00030,PLT-02,25
DL00052,ASN500040,P1014,2026-03-09,5,B00030,PLT-02,5
DL00053,ASN500115,P1014,2026-02-13,108,B00030,PLT-02,9
DL00053,ASN500115,P1014,2026-02-13,108,B00030,PLT-03,20
DL00053,ASN500115,P1014,2026-02-13,108,B00031,PLT-01,8
DL00053,ASN500115,P1014,2026-02-13,108,B00031,PLT-02,71
DL00054,ASN500106,P1015,2026-02-23,93,B00032,PLT-02,88
DL00054,ASN500106,P1015,2026-02-23,93,B00033,PLT-03,5
DL00055,ASN500080,P1015,2026-04-23,35,B00033,PLT-03,35
DL00056,ASN500000,P1016,2026-04-12,88,B00035,PLT-02,12
DL00056,ASN500000,P1016,2026-04-12,88,B00036,PLT-01,61
DL00056,ASN500000,P1016,2026-04-12,88,B00036,PLT-03,15
DL00057,ASN500086,P1016,2026-01-21,106,B00036,PLT-03,56
DL00062,ASN500070,P1018,2026-02-10,17,B00037,PLT-01,17
DL00063,ASN500026,P1018,2026-04-22,18,B00037,PLT-01,18
DL00064,ASN500073,P1018,2026-05-05,167,B00037,PLT-01,167
DL00065,ASN500038,P1018,2026-02-09,68,B00037,PLT-01,16
DL00066,ASN500130,P1019,2026-01-30,85,B00038,PLT-03,85
DL00067,ASN500095,P1019,2026-04-29,114,B00038,PLT-03,99
DL00067,ASN500095,P1019,2026-04-29,114,B00039,PLT-03,15
DL00068,ASN500007,P1019,2026-02-26,166,B00039,PLT-03,119
DL00068,ASN500007,P1019,2026-02-26,166,B00040,PLT-01,20
DL00068,ASN500007,P1019,2026-02-26,166,B00040,PLT-03,27
DL00069,ASN500052,P1019,2026-01-12,25,B00040,PLT-03,25
DL00074,ASN500087,P1021,2026-02-13,77,B00041,PLT-01,42
DL00074,ASN500087,P1021,2026-02-13,77,B00041,PLT-03,35
DL00075,ASN500065,P1021,2026-02-08,172,B00041,PLT-03,171
DL00075,ASN500065,P1021,2026-02-08,172,B00042,PLT-02,1
DL00076,ASN500103,P1021,2026-02-05,172,B00042,PLT-02,172
DL00077,ASN500077,P1021,2026-03-18,128,B00042,PLT-02,128
DL00082,ASN500115,P1023,2026-01-23,114,B00043,PLT-03,114
