demand_line_id,asn,part_number,quantity_needed,delivery_date
DL00792,ASN500045,P1281,149,2026-04-23
DL00149,ASN500011,P1051,72,2026-04-11
DL00259,ASN500133,P1088,153,2026-04-04
DL01167,ASN500057,P1403,172,2026-03-16
DL00861,ASN500045,P1304,47,2026-02-23
DL01120,ASN500056,P1386,24,2026-03-20
DL00607,ASN500095,P1214,152,2026-03-23
DL00437,ASN500041,P1153,87,2026-03-06
DL01030,ASN500101,P1357,90,2026-04-30
DL01034,ASN500026,P1360,10,2026-01-12
DL00784,ASN500118,P1278,68,2026-04-24
DL00508,ASN500000,P1176,87,2026-02-08
DL00002,ASN500000,P1000,90,2026-02-23
DL00426,ASN500136,P1149,47,2026-03-25
DL00757,ASN500008,P1268,76,2026-04-01
DL01115,ASN500125,P1384,39,2026-03-12
DL00321,ASN500010,P1110,22,2026-04-10
DL00652,ASN500131,P1230,73,2026-01-16
DL00409,ASN500119,P1143,80,2026-04-13
DL00261,ASN500095,P1090,72,2026-02-23
DL00144,ASN500105,P1047,68,2026-04-19
DL00732,ASN500060,P1259,95,2026-02-10
DL00430,ASN500112,P1150,176,2026-04-28
DL00337,ASN500025,P1115,93,2026-03-07
DL00734,ASN500025,P1260,154,2026-01-14
DL00778,ASN500057,P1276,78,2026-01-22
DL00087,ASN500105,P1025,103,2026-02-27
DL00819,ASN500036,P1290,155,2026-03-19
DL00189,ASN500087,P1064,41,2026-01-11
DL00308,ASN500051,P1104,45,2026-04-11
DL00518,ASN500002,P1180,103,2026-03-05
DL00871,ASN500107,P1306,99,2026-03-08
DL00980,ASN500084,P1339,45,2026-01-17
DL00982,ASN500036,P1339,140,2026-04-14
DL01107,ASN500016,P1381,175,2026-02-01
DL00509,ASN500108,P1177,45,2026-03-22
DL00789,ASN500041,P1280,115,2026-01-31
DL00868,ASN500020,P1306,20,2026-04-08
DL01067,ASN500134,P1370,73,2026-03-25
DL00311,ASN500097,P1105,166,2026-05-03
DL00452,ASN500085,P1157,133,2026-02-09
DL00887,ASN500020,P1311,109,2026-04-02
DL00300,ASN500115,P1101,49,2026-02-03
DL00254,ASN500050,P1086,51,2026-02-26
DL00251,ASN500122,P1085,58,2026-03-22
DL00833,ASN500027,P1295,170,2026-03-09
DL00297,ASN500012,P1100,127,2026-04-07
DL00237,ASN500110,P1080,98,2026-01-17
DL00184,ASN500049,P1063,24,2026-02-22
DL00793,ASN500127,P1282,138,2026-02-07
DL00334,ASN500128,P1114,126,2026-04-24
DL00027,ASN500121,P1006,69,2026-04-19
DL00744,ASN500062,P1265,178,2026-02-24
DL00264,ASN500020,P1090,118,2026-02-04
DL01131,ASN500076,P1391,147,2026-02-25
DL00781,ASN500033,P1277,75,2026-01-28
DL00611,ASN500082,P1215,102,2026-03-20
