demand_line_id,asn,part_number,delivery_date,quantity_needed,quantity_allocated,quantity_short,buckets_used,status
DL00001,ASN500055,P1000,2026-01-29,96,96,0,3,FULL
DL00002,ASN500000,P1000,2026-02-23,90,90,0,1,FULL
DL00003,ASN500021,P1000,2026-02-10,126,126,0,1,FULL
DL00004,ASN500051,P1001,2026-03-11,68,68,0,1,FULL
DL00005,ASN500001,P1001,2026-02-08,28,28,0,1,FULL
DL00006,ASN500022,P1001,2026-02-26,41,41,0,1,FULL
DL00007,ASN500010,P1001,2026-01-08,105,105,0,1,FULL
DL00008,ASN500076,P1001,2026-03-27,82,82,0,1,FULL
DL00009,ASN500021,P1002,2026-03-14,154,154,0,4,FULL
DL00011,ASN500099,P1003,2026-04-08,88,88,0,1,FULL
DL00012,ASN500126,P1003,2026-02-11,43,43,0,2,FULL
DL00013,ASN500037,P1003,2026-04-21,16,16,0,1,FULL
DL00014,ASN500131,P1003,2026-03-01,165,165,0,3,FULL
DL00015,ASN500129,P1003,2026-05-02,40,40,0,1,FULL
DL00021,ASN500012,P1005,2026-01-08,165,165,0,1,FULL
DL00022,ASN500136,P1005,2026-02-06,179,179,0,1,FULL
DL00023,ASN500125,P1005,2026-01-06,72,72,0,1,FULL
DL00024,ASN500116,P1005,2026-04-11,22,22,0,2,FULL
DL00025,ASN500137,P1006,2026-03-31,28,28,0,1,FULL
DL00026,ASN500134,P1006,2026-04-11,21,21,0,2,FULL
DL00027,ASN500121,P1006,2026-04-19,69,69,0,1,FULL
DL00028,ASN500019,P1006,2026-02-05,72,72,0,1,FULL
DL00029,ASN500052,P1006,2026-04-10,64,64,0,1,FULL
DL00030,ASN500126,P1007,2026-01-15,102,102,0,1,FULL
DL00034,ASN500084,P1008,2026-03-30,70,70,0,1,FULL
DL00035,ASN500077,P1008,2026-03-19,164,164,0,5,FULL
DL00036,ASN500003,P1009,2026-01-13,128,128,0,4,FULL
DL00037,ASN500124,P1009,2026-04-02,73,73,0,1,FULL
DL00038,ASN500055,P1010,2026-03-09,177,177,0,3,FULL
DL00039,ASN500132,P1011,2026-03-06,78,78,0,1,FULL
DL00040,ASN500119,P1011,2026-04-14,124,124,0,1,FULL
DL00041,ASN500030,P1011,2026-01-31,145,145,0,2,FULL
DL00042,ASN500021,P1012,2026-01-08,126,126,0,3,FULL
DL00043,ASN500074,P1012,2026-01-15,122,122,0,1,FULL
DL00044,ASN500129,P1012,2026-02-09,120,120,0,2,FULL
DL00045,ASN500053,P1013,2026-01-15,58,58,0,3,FULL
DL00046,ASN500023,P1013,2026-04-11,41,41,0,1,FULL
DL00047,ASN500134,P1013,2026-02-21,72,72,0,1,FULL
DL00049,ASN500071,P1014,2026-04-06,33,33,0,1,FULL
DL00050,ASN500093,P1014,2026-03-10,64,64,0,1,FULL
DL00051,ASN500124,P1014,2026-01-09,105,105,0,2,FULL
DL00052,ASN500040,P1014,2026-03-09,5,5,0,1,FULL
DL00053,ASN500115,P1014,2026-02-13,108,108,0,4,FULL
DL00054,ASN500106,P1015,2026-02-23,93,93,0,2,FULL
DL00055,ASN500080,P1015,2026-04-23,35,35,0,1,FULL
DL00056,ASN500000,P1016,2026-04-12,88,88,0,3,FULL
DL00062,ASN500070,P1018,2026-02-10,17,17,0,1,FULL
DL00063,ASN500026,P1018,2026-04-22,18,18,0,1,FULL
DL00064,ASN500073,P1018,2026-05-05,167,167,0,1,FULL
DL00066,ASN500130,P1019,2026-01-30,85,85,0,1,FULL
DL00067,ASN500095,P1019,2026-04-29,114,114,0,2,FULL
DL00068,ASN500007,P1019,2026-02-26,166,166,0,3,FULL
DL00069,ASN500052,P1019,2026-01-12,25,25,0,1,FULL
DL00074,ASN500087,P1021,2026-02-13,77,77,0,2,FULL
DL00075,ASN500065,P1021,2026-02-08,172,172,0,2,FULL
DL00076,ASN500103,P1021,2026-02-05,172,172,0,1,FULL
DL00077,ASN500077,P1021,2026-03-18,128,128,0,1,FULL
DL00082,ASN500115,P1023,2026-01-23,114,114,0,1,FULL
DL00083,ASN500049,P1023,2026-01-17,67,67,0,1,FULL
DL00084,ASN500044,P1023,2026-03-18,92,92,0,2,FULL
DL00085,ASN500081,P1024,2026-02-22,66,66,0,3,FULL
DL00086,ASN500051,P1025,2026-04-11,10,10,0,1,FULL
DL00087,ASN500105,P1025,2026-02-27,103,103,0,3,FULL
DL00088,ASN500134,P1025,2026-02-23,58,58,0,1,FULL
DL00089,ASN500086,P1026,2026-03-10,20,20,0,1,FULL
DL00090,ASN500071,P1026,2026-02-21,152,152,0,1,FULL
DL00091,ASN500032,P1026,2026-03-11,180,180,0,4,FULL
DL00092,ASN500055,P1027,2026-02-09,28,28,0,1,FULL
DL00093,ASN500063,P1027,2026-02-26,103,103,0,2,FULL
DL00094,ASN500114,P1027,2026-02-14,115,115,0,1,FULL
DL00097,ASN500000,P1028,2026-02-25,23,23,0,1,FULL
DL00098,ASN500135,P1028,2026-03-04,124,124,0,2,FULL
DL00099,ASN500063,P1028,2026-02-03,32,32,0,1,FULL
DL00100,ASN500039,P1028,2026-03-13,43,43,0,2,FULL
DL00103,ASN500009,P1031,2026-04-07,170,170,0,1,FULL
DL00104,ASN500077,P1031,2026-03-27,37,37,0,1,FULL
DL00105,ASN500064,P1031,2026-03-28,140,140,0,1,FULL
DL00106,ASN500111,P1031,2026-01-18,33,33,0,1,FULL
DL00107,ASN500018,P1031,2026-03-14,81,81,0,1,FULL
DL00108,ASN500049,P1032,2026-02-08,104,104,0,4,FULL
DL00113,ASN500063,P1033,2026-02-27,12,12,0,1,FULL
DL00114,ASN500078,P1033,2026-01-08,19,19,0,3,FULL
DL00115,ASN500127,P1034,2026-03-29,177,177,0,2,FULL
DL00116,ASN500107,P1034,2026-02-07,25,25,0,1,FULL
DL00117,ASN500108,P1035,2026-02-04,99,99,0,2,FULL
DL00118,ASN500126,P1035,2026-04-05,13,13,0,1,FULL
DL00119,ASN500107,P1036,2026-04-03,97,97,0,3,FULL
DL00122,ASN500126,P1037,2026-02-14,56,56,0,3,FULL
DL00123,ASN500049,P1037,2026-03-06,64,64,0,1,FULL
DL00124,ASN500067,P1038,2026-01-19,80,80,0,3,FULL
DL00125,ASN500126,P1038,2026-01-29,161,161,0,2,FULL
DL00126,ASN500124,P1039,2026-05-02,111,111,0,2,FULL
DL00128,ASN500013,P1040,2026-01-09,59,59,0,1,FULL
DL00129,ASN500036,P1040,2026-01-12,111,111,0,1,FULL
DL00130,ASN500015,P1040,2026-02-25,52,52,0,2,FULL
DL00131,ASN500115,P1040,2026-04-09,85,85,0,1,FULL
DL00132,ASN500020,P1041,2026-02-17,47,47,0,2,FULL
DL00135,ASN500096,P1043,2026-02-17,100,100,0,3,FULL
DL00138,ASN500089,P1044,2026-04-29,112,112,0,4,FULL
DL00140,ASN500110,P1046,2026-01-12,27,27,0,1,FULL
DL00147,ASN500065,P1049,2026-04-11,54,54,0,3,FULL
DL00149,ASN500011,P1051,2026-04-11,72,72,0,2,FULL
DL00150,ASN500081,P1051,2026-02-13,75,75,0,1,FULL
DL00151,ASN500000,P1051,2026-05-03,157,157,0,2,FULL
DL00152,ASN500006,P1052,2026-01-19,64,64,0,2,FULL
DL00153,ASN500119,P1053,2026-04-17,103,103,0,2,FULL
DL00154,ASN500064,P1053,2026-04-20,115,115,0,1,FULL
DL00157,ASN500038,P1054,2026-02-05,160,160,0,1,FULL
DL00158,ASN500083,P1054,2026-03-05,86,86,0,1,FULL
DL00159,ASN500092,P1054,2026-01-16,157,157,0,1,FULL
DL00160,ASN500050,P1055,2026-04-12,105,105,0,2,FULL
DL00161,ASN500040,P1055,2026-02-27,68,68,0,1,FULL
DL00162,ASN500016,P1055,2026-01-10,171,171,0,2,FULL
DL00163,ASN500123,P1055,2026-03-16,146,146,0,1,FULL
DL00164,ASN500083,P1055,2026-03-01,46,46,0,1,FULL
DL00165,ASN500018,P1056,2026-03-26,72,72,0,1,FULL
DL00167,ASN500114,P1058,2026-02-04,49,49,0,1,FULL
DL00168,ASN500034,P1058,2026-03-05,111,111,0,1,FULL
DL00169,ASN500060,P1058,2026-04-24,142,142,0,1,FULL
DL00171,ASN500068,P1059,2026-02-07,100,100,0,1,FULL
DL00176,ASN500064,P1061,2026-03-11,67,67,0,1,FULL
DL00177,ASN500134,P1061,2026-03-30,64,64,0,1,FULL
DL00178,ASN500025,P1061,2026-03-06,172,172,0,1,FULL
DL00179,ASN500009,P1061,2026-01-06,31,31,0,1,FULL
DL00180,ASN500059,P1062,2026-05-03,119,119,0,3,FULL
DL00181,ASN500095,P1062,2026-04-28,15,15,0,1,FULL
DL00182,ASN500075,P1062,2026-01-21,64,64,0,1,FULL
DL00184,ASN500049,P1063,2026-02-22,24,24,0,1,FULL
DL00185,ASN500131,P1063,2026-03-04,50,50,0,1,FULL
DL00186,ASN500066,P1063,2026-01-06,175,175,0,3,FULL
DL00189,ASN500087,P1064,2026-01-11,41,41,0,1,FULL
DL00192,ASN500104,P1065,2026-02-22,178,178,0,1,FULL
DL00193,ASN500047,P1065,2026-02-14,163,163,0,2,FULL
DL00194,ASN500019,P1065,2026-01-10,57,57,0,1,FULL
DL00203,ASN500093,P1068,2026-01-31,169,169,0,3,FULL
DL00204,ASN500103,P1069,2026-05-06,57,57,0,3,FULL
DL00208,ASN500117,P1070,2026-01-22,46,46,0,1,FULL
DL00209,ASN500003,P1070,2026-03-17,18,18,0,1,FULL
DL00210,ASN500036,P1070,2026-04-19,169,169,0,3,FULL
DL00211,ASN500022,P1071,2026-03-26,151,151,0,1,FULL
DL00219,ASN500041,P1075,2026-04-16,168,168,0,1,FULL
DL00220,ASN500056,P1075,2026-02-26,163,163,0,2,FULL
DL00221,ASN500050,P1075,2026-01-29,126,126,0,2,FULL
DL00222,ASN500055,P1075,2026-02-26,15,15,0,1,FULL
DL00223,ASN500132,P1075,2026-02-24,45,45,0,1,FULL
DL00224,ASN500031,P1076,2026-02-06,43,43,0,3,FULL
DL00225,ASN500049,P1076,2026-04-29,15,15,0,1,FULL
DL00226,ASN500009,P1076,2026-04-23,175,175,0,1,FULL
DL00227,ASN500030,P1077,2026-03-23,104,104,0,1,FULL
DL00230,ASN500063,P1078,2026-02-24,113,113,0,3,FULL
DL00231,ASN500094,P1078,2026-03-11,119,119,0,1,FULL
DL00232,ASN500112,P1078,2026-01-08,50,50,0,1,FULL
DL00233,ASN500125,P1079,2026-02-05,124,124,0,2,FULL
DL00234,ASN500117,P1080,2026-04-19,50,50,0,3,FULL
DL00235,ASN500121,P1080,2026-01-19,107,107,0,1,FULL
DL00236,ASN500017,P1080,2026-02-20,37,37,0,1,FULL
DL00237,ASN500110,P1080,2026-01-17,98,98,0,2,FULL
DL00238,ASN500129,P1081,2026-03-31,135,135,0,2,FULL
DL00239,ASN500010,P1081,2026-03-28,15,15,0,3,FULL
DL00240,ASN500033,P1081,2026-05-04,26,26,0,1,FULL
DL00241,ASN500080,P1081,2026-01-16,135,135,0,1,FULL
DL00242,ASN500129,P1082,2026-03-30,101,101,0,2,FULL
DL00243,ASN500006,P1083,2026-03-25,21,21,0,2,FULL
DL00245,ASN500073,P1084,2026-04-03,47,47,0,1,FULL
DL00246,ASN500056,P1084,2026-04-22,21,21,0,1,FULL
DL00247,ASN500089,P1084,2026-04-12,161,161,0,3,FULL
DL00248,ASN500064,P1084,2026-02-16,45,45,0,1,FULL
DL00249,ASN500070,P1085,2026-01-24,121,121,0,3,FULL
DL00250,ASN500065,P1085,2026-05-03,133,133,0,2,FULL
DL00251,ASN500122,P1085,2026-03-22,58,58,0,1,FULL
DL00252,ASN500067,P1085,2026-03-11,162,162,0,2,FULL
DL00253,ASN500060,P1085,2026-02-22,86,86,0,1,FULL
DL00254,ASN500050,P1086,2026-02-26,51,51,0,2,FULL
DL00257,ASN500029,P1088,2026-01-12,140,140,0,2,FULL
DL00258,ASN500092,P1088,2026-03-18,120,120,0,1,FULL
DL00259,ASN500133,P1088,2026-04-04,153,153,0,1,FULL
DL00260,ASN500064,P1089,2026-03-27,142,142,0,3,FULL
DL00261,ASN500095,P1090,2026-02-23,72,72,0,1,FULL
DL00262,ASN500094,P1090,2026-01-24,152,152,0,3,FULL
DL00267,ASN500080,P1092,2026-04-11,5,5,0,1,FULL
DL00268,ASN500008,P1092,2026-01-25,61,61,0,1,FULL
DL00276,ASN500136,P1094,2026-02-27,62,62,0,2,FULL
DL00277,ASN500077,P1094,2026-01-23,155,155,0,1,FULL
DL00278,ASN500052,P1094,2026-03-26,98,98,0,1,FULL
