part_number,batch,plant,quantity_on_hand
P1106,B00200,PLT-02,9
P1211,B00364,PLT-02,23
P1034,B00070,PLT-01,11
P1347,B00579,PLT-03,104
P1158,B00278,PLT-03,9
P1040,B00084,PLT-01,192
P1403,B00678,PLT-03,106
P1277,B00477,PLT-02,38
P1150,B00264,PLT-02,21
P1256,B00429,PLT-02,8
P1039,B00083,PLT-02,82
P1029,B00060,PLT-01,2
P1048,B00100,PLT-01,3
P1177,B00317,PLT-01,83
P1317,B00536,PLT-02,294
P1375,B00626,PLT-02,10
P1410,B00689,PLT-02,161
P1101,B00188,PLT-02,35
P1375,B00627,PLT-03,98
P1182,B00324,PLT-03,105
P1193,B00336,PLT-02,18
P1312,B00525,PLT-02,215
P1226,B00390,PLT-01,7
P1085,B00165,PLT-01,173
P1189,B00328,PLT-02,147
P1322,B00546,PLT-01,520
P1115,B00212,PLT-03,505
P1145,B00256,PLT-01,43
P1257,B00431,PLT-02,136
P1162,B00284,PLT-01,24
P1177,B00317,PLT-03,32
P1335,B00565,PLT-01,22
P1306,B00520,PLT-02,171
P1046,B00099,PLT-03,38
P1175,B00313,PLT-01,61
P1156,B00273,PLT-01,5
P1203,B00351,PLT-03,9
P1400,B00671,PLT-01,15
P1251,B00421,PLT-01,4
P1140,B00251,PLT-01,74
P1070,B00133,PLT-02,61
P1201,B00349,PLT-02,79
P1227,B00391,PLT-01,13
P1026,B00052,PLT-01,75
P1351,B00584,PLT-03,23
P1175,B00313,PLT-03,18
P1323,B00547,PLT-03,161
P1315,B00529,PLT-01,106
P1089,B00169,PLT-02,67
P1394,B00659,PLT-02,9
P1189,B00329,PLT-01,83
P1417,B00701,PLT-03,20
P1082,B00158,PLT-03,12
P1170,B00307,PLT-02,10
P1395,B00662,PLT-03,97
P1104,B00194,PLT-03,14
P1080,B00154,PLT-01,199
P1344,B00573,PLT-01,33
P1029,B00058,PLT-02,3
P1323,B00548,PLT-02,163
P1027,B00055,PLT-01,232
P1269,B00460,PLT-02,29
P1024,B00046,PLT-01,7
P1198,B00342,PLT-02,15
P1389,B00651,PLT-02,4
P1032,B00064,PLT-01,11
P1112,B00209,PLT-03,48
P1276,B00474,PLT-01,51
P1216,B00371,PLT-03,5
P1224,B00384,PLT-01,177
P1037,B00076,PLT-01,7
P1385,B00645,PLT-02,19
P1094,B00177,PLT-01,358
P1363,B00604,PLT-03,6
P1254,B00426,PLT-02,111
P1203,B00351,PLT-02,25
P1045,B00096,PLT-01,8
P1343,B00571,PLT-03,42
P1244,B00410,PLT-02,114
P1069,B00129,PLT-01,41
P1010,B00022,PLT-01,151
P1254,B00426,PLT-03,721
P1089,B00171,PLT-03,34
P1361,B00600,PLT-01,35
P1280,B00486,PLT-01,187
P1163,B00287,PLT-01,98
P1378,B00633,PLT-02,20
P1079,B00152,PLT-02,90
P1157,B00276,PLT-02,549
P1220,B00377,PLT-01,155
P1263,B00445,PLT-02,59
P1407,B00683,PLT-01,44
P1138,B00246,PLT-02,83
P1282,B00490,PLT-01,386
P1080,B00153,PLT-02,17
P1147,B00258,PLT-02,11
P1276,B00474,PLT-03,5
P1127,B00231,PLT-03,57
P1190,B00331,PLT-01,51
P1162,B00285,PLT-02,106
P1162,B00284,PLT-02,29
P1084,B00162,PLT-02,111
P1379,B00635,PLT-01,25
P1358,B00596,PLT-01,17
P1300,B00511,PLT-01,119
P1238,B00404,PLT-03,121
P1377,B00630,PLT-03,221
P1280,B00484,PLT-02,62
P1300,B00512,PLT-01,74
P1314,B00528,PLT-02,99
P1380,B00640,PLT-01,118
P1198,B00343,PLT-02,3
P1151,B00267,PLT-01,117
P1260,B00440,PLT-03,154
P1343,B00572,PLT-03,67
P1334,B00564,PLT-02,1
P1179,B00319,PLT-02,340
P1003,B00008,PLT-02,167
P1408,B00686,PLT-03,43
P1356,B00589,PLT-02,9
P1319,B00540,PLT-03,211
P1038,B00079,PLT-03,22
P1032,B00065,PLT-03,32
P1010,B00022,PLT-03,32
P1346,B00577,PLT-03,37
P1003,B00008,PLT-03,4
P1106,B00201,PLT-03,38
P1407,B00682,PLT-01,25
P1308,B00522,PLT-03,231
P1264,B00447,PLT-03,4
P1055,B00112,PLT-02,16
P1209,B00362,PLT-01,145
P1042,B00088,PLT-03,8
P1103,B00192,PLT-02,114
P1031,B00063,PLT-02,525
P1152,B00268,PLT-03,307
P1242,B00409,PLT-03,151
P1344,B00574,PLT-01,96
P1014,B00030,PLT-03,20
P1133,B00240,PLT-03,226
P1176,B00316,PLT-02,87
P1164,B00291,PLT-03,106
P1032,B00064,PLT-02,33
