demand_line_id,asn,part_number,delivery_date,quantity_needed,quantity_allocated,quantity_short,buckets_used,status
DL00010,ASN500039,P1002,2026-04-30,173,91,82,1,PARTIAL
DL00016,ASN500129,P1004,2026-04-22,150,113,37,1,PARTIAL
DL00031,ASN500122,P1007,2026-02-11,180,146,34,1,PARTIAL
DL00048,ASN500033,P1013,2026-04-20,159,14,145,1,PARTIAL
DL00057,ASN500086,P1016,2026-01-21,106,56,50,1,PARTIAL
DL00065,ASN500038,P1018,2026-02-09,68,16,52,1,PARTIAL
DL00095,ASN500005,P1027,2026-01-10,37,28,9,1,PARTIAL
DL00101,ASN500117,P1029,2026-03-17,26,7,19,3,PARTIAL
DL00102,ASN500000,P1030,2026-02-04,37,22,15,2,PARTIAL
DL00109,ASN500057,P1032,2026-01-06,158,86,72,2,PARTIAL
DL00120,ASN500101,P1036,2026-01-06,55,42,13,1,PARTIAL
DL00127,ASN500014,P1039,2026-01-24,157,93,64,2,PARTIAL
DL00133,ASN500047,P1042,2026-05-05,172,139,33,5,PARTIAL
DL00136,ASN500113,P1043,2026-01-19,48,9,39,1,PARTIAL
DL00139,ASN500053,P1045,2026-02-20,102,82,20,3,PARTIAL
DL00141,ASN500121,P1046,2026-02-22,55,39,16,2,PARTIAL
DL00146,ASN500118,P1048,2026-04-18,21,6,15,3,PARTIAL
DL00155,ASN500126,P1053,2026-05-04,38,18,20,2,PARTIAL
DL00166,ASN500053,P1057,2026-02-28,29,8,21,1,PARTIAL
DL00172,ASN500066,P1059,2026-03-03,55,18,37,1,PARTIAL
DL00183,ASN500012,P1062,2026-03-23,53,11,42,1,PARTIAL
DL00187,ASN500027,P1063,2026-03-23,168,109,59,1,PARTIAL
DL00190,ASN500052,P1064,2026-01-10,70,36,34,2,PARTIAL
DL00205,ASN500001,P1069,2026-05-01,116,75,41,1,PARTIAL
DL00212,ASN500094,P1071,2026-01-27,134,133,1,2,PARTIAL
DL00215,ASN500027,P1072,2026-03-09,103,31,72,3,PARTIAL
DL00218,ASN500099,P1074,2026-05-01,27,20,7,3,PARTIAL
DL00228,ASN500116,P1077,2026-04-24,145,144,1,2,PARTIAL
DL00244,ASN500028,P1083,2026-01-22,54,11,43,1,PARTIAL
DL00263,ASN500092,P1090,2026-04-13,89,86,3,1,PARTIAL
DL00269,ASN500074,P1092,2026-03-27,162,107,55,1,PARTIAL
DL00308,ASN500051,P1104,2026-04-11,45,30,15,2,PARTIAL
DL00319,ASN500088,P1109,2026-04-05,41,39,2,1,PARTIAL
DL00324,ASN500136,P1111,2026-01-14,175,44,131,1,PARTIAL
DL00328,ASN500073,P1112,2026-01-18,127,87,40,3,PARTIAL
DL00329,ASN500025,P1113,2026-02-01,170,103,67,2,PARTIAL
DL00333,ASN500094,P1114,2026-04-14,87,33,54,1,PARTIAL
DL00339,ASN500073,P1117,2026-03-02,48,29,19,2,PARTIAL
DL00341,ASN500001,P1119,2026-03-09,94,68,26,3,PARTIAL
DL00355,ASN500136,P1123,2026-04-12,157,79,78,1,PARTIAL
DL00389,ASN500125,P1136,2026-01-10,32,14,18,1,PARTIAL
DL00431,ASN500029,P1150,2026-01-21,147,13,134,1,PARTIAL
DL00440,ASN500107,P1154,2026-01-15,178,33,145,1,PARTIAL
DL00445,ASN500054,P1156,2026-03-27,111,50,61,3,PARTIAL
DL00455,ASN500049,P1158,2026-04-07,86,5,81,1,PARTIAL
DL00468,ASN500003,P1161,2026-04-27,99,35,64,4,PARTIAL
DL00478,ASN500039,P1165,2026-04-14,126,77,49,1,PARTIAL
DL00480,ASN500120,P1166,2026-04-30,59,36,23,3,PARTIAL
DL00482,ASN500002,P1167,2026-04-01,180,35,145,1,PARTIAL
DL00485,ASN500062,P1170,2026-04-09,120,72,48,4,PARTIAL
DL00497,ASN500041,P1173,2026-04-18,166,104,62,1,PARTIAL
DL00501,ASN500015,P1174,2026-03-30,164,13,151,1,PARTIAL
DL00506,ASN500096,P1175,2026-04-14,159,52,107,1,PARTIAL
DL00510,ASN500010,P1177,2026-04-22,78,70,8,2,PARTIAL
DL00526,ASN500092,P1183,2026-03-19,152,143,9,4,PARTIAL
DL00551,ASN500131,P1194,2026-04-13,170,21,149,1,PARTIAL
DL00563,ASN500056,P1198,2026-05-05,24,12,12,1,PARTIAL
DL00565,ASN500114,P1199,2026-05-04,29,26,3,1,PARTIAL
DL00571,ASN500115,P1201,2026-04-29,146,39,107,1,PARTIAL
