demand_line_id,asn,part_number,delivery_date,quantity_needed,quantity_allocated,quantity_short,buckets_used,status
DL00017,ASN500004,P1004,2026-03-21,180,0,180,0,UNFULFILLABLE
DL00018,ASN500058,P1004,2026-01-09,26,0,26,0,UNFULFILLABLE
DL00019,ASN500010,P1004,2026-03-28,39,0,39,0,UNFULFILLABLE
DL00020,ASN500092,P1004,2026-02-23,31,0,31,0,UNFULFILLABLE
DL00032,ASN500011,P1007,2026-03-27,162,0,162,0,UNFULFILLABLE
DL00033,ASN500050,P1007,2026-03-23,24,0,24,0,UNFULFILLABLE
DL00058,ASN500050,P1016,2026-05-01,8,0,8,0,UNFULFILLABLE
DL00059,ASN500064,P1017,2026-01-14,100,0,100,0,UNFULFILLABLE
DL00060,ASN500100,P1017,2026-04-27,104,0,104,0,UNFULFILLABLE
DL00061,ASN500019,P1017,2026-05-04,97,0,97,0,UNFULFILLABLE
DL00070,ASN500115,P1020,2026-04-12,162,0,162,0,UNFULFILLABLE
DL00071,ASN500035,P1020,2026-04-27,169,0,169,0,UNFULFILLABLE
DL00072,ASN500073,P1020,2026-01-12,129,0,129,0,UNFULFILLABLE
DL00073,ASN500032,P1020,2026-03-07,48,0,48,0,UNFULFILLABLE
DL00078,ASN500030,P1022,2026-03-29,47,0,47,0,UNFULFILLABLE
DL00079,ASN500041,P1022,2026-02-01,24,0,24,0,UNFULFILLABLE
DL00080,ASN500128,P1022,2026-03-17,132,0,132,0,UNFULFILLABLE
DL00081,ASN500056,P1022,2026-05-02,120,0,120,0,UNFULFILLABLE
DL00096,ASN500108,P1027,2026-03-22,126,0,126,0,UNFULFILLABLE
DL00110,ASN500002,P1032,2026-02-13,142,0,142,0,UNFULFILLABLE
DL00111,ASN500117,P1032,2026-02-15,76,0,76,0,UNFULFILLABLE
DL00112,ASN500062,P1032,2026-03-14,126,0,126,0,UNFULFILLABLE
DL00121,ASN500074,P1036,2026-01-14,134,0,134,0,UNFULFILLABLE
DL00134,ASN500134,P1042,2026-01-10,124,0,124,0,UNFULFILLABLE
DL00137,ASN500000,P1043,2026-02-10,25,0,25,0,UNFULFILLABLE
DL00142,ASN500138,P1046,2026-01-30,119,0,119,0,UNFULFILLABLE
DL00143,ASN500093,P1047,2026-01-09,126,0,126,0,UNFULFILLABLE
DL00144,ASN500105,P1047,2026-04-19,68,0,68,0,UNFULFILLABLE
DL00145,ASN500103,P1047,2026-02-23,15,0,15,0,UNFULFILLABLE
DL00148,ASN500086,P1050,2026-02-09,97,0,97,0,UNFULFILLABLE
DL00156,ASN500127,P1053,2026-01-07,51,0,51,0,UNFULFILLABLE
DL00170,ASN500031,P1058,2026-02-12,80,0,80,0,UNFULFILLABLE
DL00173,ASN500063,P1059,2026-02-06,52,0,52,0,UNFULFILLABLE
DL00174,ASN500039,P1060,2026-04-29,77,0,77,0,UNFULFILLABLE
DL00175,ASN500048,P1060,2026-01-14,88,0,88,0,UNFULFILLABLE
DL00188,ASN500089,P1063,2026-01-10,60,0,60,0,UNFULFILLABLE
DL00191,ASN500052,P1064,2026-04-20,7,0,7,0,UNFULFILLABLE
DL00195,ASN500123,P1066,2026-02-27,21,0,21,0,UNFULFILLABLE
DL00196,ASN500025,P1066,2026-03-31,106,0,106,0,UNFULFILLABLE
DL00197,ASN500039,P1066,2026-03-15,168,0,168,0,UNFULFILLABLE
DL00198,ASN500023,P1066,2026-01-26,172,0,172,0,UNFULFILLABLE
DL00199,ASN500069,P1067,2026-02-11,109,0,109,0,UNFULFILLABLE
DL00200,ASN500078,P1067,2026-01-12,111,0,111,0,UNFULFILLABLE
DL00201,ASN500079,P1067,2026-04-29,150,0,150,0,UNFULFILLABLE
DL00202,ASN500091,P1067,2026-02-28,111,0,111,0,UNFULFILLABLE
DL00206,ASN500040,P1069,2026-01-20,113,0,113,0,UNFULFILLABLE
DL00207,ASN500023,P1069,2026-03-20,108,0,108,0,UNFULFILLABLE
DL00213,ASN500037,P1071,2026-02-11,94,0,94,0,UNFULFILLABLE
DL00214,ASN500041,P1071,2026-01-27,138,0,138,0,UNFULFILLABLE
DL00216,ASN500077,P1073,2026-04-23,37,0,37,0,UNFULFILLABLE
DL00217,ASN500011,P1073,2026-02-15,128,0,128,0,UNFULFILLABLE
DL00229,ASN500078,P1077,2026-02-28,171,0,171,0,UNFULFILLABLE
DL00255,ASN500071,P1087,2026-02-16,178,0,178,0,UNFULFILLABLE
DL00256,ASN500096,P1087,2026-04-17,48,0,48,0,UNFULFILLABLE
DL00264,ASN500020,P1090,2026-02-04,118,0,118,0,UNFULFILLABLE
DL00265,ASN500012,P1091,2026-04-20,80,0,80,0,UNFULFILLABLE
DL00266,ASN500132,P1091,2026-02-14,69,0,69,0,UNFULFILLABLE
DL00270,ASN500110,P1092,2026-03-12,111,0,111,0,UNFULFILLABLE
DL00271,ASN500093,P1092,2026-01-22,17,0,17,0,UNFULFILLABLE
DL00272,ASN500058,P1093,2026-03-30,161,0,161,0,UNFULFILLABLE
DL00273,ASN500011,P1093,2026-01-12,10,0,10,0,UNFULFILLABLE
DL00274,ASN500000,P1093,2026-02-20,150,0,150,0,UNFULFILLABLE
DL00275,ASN500077,P1093,2026-03-13,32,0,32,0,UNFULFILLABLE
DL00286,ASN500113,P1097,2026-05-05,159,0,159,0,UNFULFILLABLE
DL00287,ASN500132,P1097,2026-02-06,131,0,131,0,UNFULFILLABLE
DL00288,ASN500042,P1097,2026-01-11,5,0,5,0,UNFULFILLABLE
DL00289,ASN500015,P1097,2026-01-09,141,0,141,0,UNFULFILLABLE
DL00290,ASN500103,P1097,2026-02-05,52,0,52,0,UNFULFILLABLE
DL00291,ASN500014,P1098,2026-01-07,31,0,31,0,UNFULFILLABLE
DL00292,ASN500050,P1098,2026-02-27,41,0,41,0,UNFULFILLABLE
